trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1288,3,0.048578072279691700274817378613,0.301301811099052407882936677197,459,EDFSMode.RANDOM
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,3.000000000000000000000000000000,3995,88,0.508121759353205582065982071072,0.891854330765083469501064428187,924,EDFSMode.RANDOM
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,3380,47,0.353514024661853887288032183278,0.186214333388954406123261264838,682,EDFSMode.RANDOM
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,6.000000000000000000000000000000,637,62,0.828651725701987751371291324176,0.523612113442271986940568240243,245,EDFSMode.RANDOM
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,3.000000000000000000000000000000,442,34,0.744800446115434167104751850275,0.744120320318266803560902644676,135,EDFSMode.RANDOM
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,3029,70,0.191694262759760009062759422704,0.090949139943346385406286458419,571,EDFSMode.RANDOM
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,4892,16,0.907685563353821667220699964673,0.858964142896235016699790776329,808,EDFSMode.RANDOM
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,2.000000000000000000000000000000,2342,81,0.401360360454767917115503905734,0.459435007750988000374547937099,344,EDFSMode.RANDOM
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,3.000000000000000000000000000000,2123,43,0.964724877798929791872240002704,0.029500122763216497095983825716,987,EDFSMode.RANDOM
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,2.000000000000000000000000000000,4400,55,0.473018871292471887457509183150,0.682305579245090498829995340202,494,EDFSMode.RANDOM
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,2506,8,0.630320050735026615740252964315,0.397742756484076365186552948217,322,EDFSMode.RANDOM
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,271,96,0.185395563771948213016571571643,0.797393472423777005531064787647,731,EDFSMode.RANDOM
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,1170,25,0.273068871816620206693926320440,0.955526681158691659767612236465,606,EDFSMode.RANDOM
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,8.000000000000000000000000000000,3561,86,0.795962376464158349875788189820,0.364852564897388209619322196886,199,EDFSMode.RANDOM
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4204,27,0.077308087661862368022980263049,0.587040396953001586410891832202,393,EDFSMode.RANDOM
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,3.000000000000000000000000000000,1771,65,0.615795076483860559513061616599,0.250008325921371565847550755279,886,EDFSMode.RANDOM
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,3.000000000000000000000000000000,1694,29,0.458993944624438876545013954455,0.839215468140318998635507341533,238,EDFSMode.RANDOM
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,5.000000000000000000000000000000,4282,69,0.980881866574287442084312260704,0.494386678257957123960864009860,702,EDFSMode.RANDOM
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3639,22,0.137990115437656629682194875386,0.708717545729130482534685597784,903,EDFSMode.RANDOM
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,4.000000000000000000000000000000,1091,82,0.675471581047400793096358029288,0.110246651131659753608538210301,467,EDFSMode.RANDOM
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,37,10,0.778799790119752310957323970797,0.143626073246821750473145584692,364,EDFSMode.RANDOM
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,2.000000000000000000000000000000,2740,100,0.288099366310983873162854251859,0.551073522908613111503939308022,801,EDFSMode.RANDOM
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,2.000000000000000000000000000000,4633,40,0.569638008087873459750483107200,0.274367646142840371226157003548,579,EDFSMode.RANDOM
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.920000000000000039968028886506,4.000000000000000000000000000000,1888,51,0.125719044337049112858295529804,0.934969895832240549538028062670,114,EDFSMode.RANDOM
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,2421,14,0.556440786864608516459895781736,0.614103661105036779943588953756,765,EDFSMode.RANDOM
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4815,78,0.002390900535508990072675050698,0.206777807109057909507043859776,273,EDFSMode.RANDOM
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,2.000000000000000000000000000000,2950,37,0.843590473206713764575681580027,0.998245175367221238005299710494,544,EDFSMode.RANDOM
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,2.000000000000000000000000000000,520,74,0.336321626819670205232881698976,0.337277216656133527195038368518,952,EDFSMode.RANDOM
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,1.000000000000000000000000000000,872,46,0.236937748260796082755419433852,0.433031640630215430842753221441,836,EDFSMode.RANDOM
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.910000000000000031086244689504,3.000000000000000000000000000000,3146,59,0.697425136448815430334491338726,0.778226154405623704590766465117,427,EDFSMode.RANDOM
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,1995,38,0.148592666478512464012240457123,0.289961695631488103330752892361,100,EDFSMode.RANDOM
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,1746,100,0.078585499230206232179618552891,0.391107354792708916679799813210,100,EDFSMode.RANDOM
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,4024,1,0.188769783254395279170623211940,0.135462359704303009211301400683,100,EDFSMode.RANDOM
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,71,60,0.073954578280289520741952458138,0.361070459100276131003681712173,179,EDFSMode.RANDOM
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,4307,1,0.162278180777120306643723779416,0.359360083627165483033394366430,100,EDFSMode.RANDOM
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,3087,43,0.113573119738640773701554564923,0.339942818699038806773415899443,254,EDFSMode.RANDOM
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.900000000000000022204460492503,4.000000000000000000000000000000,827,100,0.154071585061061638866064527065,0.203920534330304992209903502953,100,EDFSMode.RANDOM
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,799,1,0.287853949634328476481215375316,0.003892894440050391133278928635,109,EDFSMode.RANDOM
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.920000000000000039968028886506,2.000000000000000000000000000000,3816,100,0.035929663794481536687186462586,0.468596235762163193516727233146,136,EDFSMode.RANDOM
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1364,3,0.001000000000000000020816681712,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.900000000000000022204460492503,2.000000000000000000000000000000,114,42,0.169632050148311230852726794183,0.075639489723406352905676897080,100,EDFSMode.RANDOM
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,4880,49,0.112374661545316487099022140228,0.361934270489402798443023812069,100,EDFSMode.RANDOM
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,3120,100,0.144749367130059092279026344841,0.001000000000000000020816681712,100,EDFSMode.RANDOM
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,790,1,0.241429059785832178519626722846,0.275714621953051519653854484204,165,EDFSMode.RANDOM
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,4378,1,0.128551948218753570030159494308,0.001000000000000000020816681712,100,EDFSMode.RANDOM
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,462,1,0.001000000000000000020816681712,0.727735464480082971938657010469,689,EDFSMode.RANDOM
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,4254,24,0.023821099514262887575366534065,0.226497300004545126794752718524,100,EDFSMode.RANDOM
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,617,100,0.019354786233432577646773609104,0.443195952790103930851728364360,191,EDFSMode.RANDOM
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,666,1,0.148801567962953545931625853882,0.462299774362308790731646013228,100,EDFSMode.RANDOM
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1,41,0.122441043618518249913584838851,0.329534572449146523354102100711,100,EDFSMode.RANDOM
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,4464,31,0.179084970026164302936422245693,0.191552896902958652569637365559,100,EDFSMode.RANDOM
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,1768,36,0.048072521532541614974753940714,0.001000000000000000020816681712,100,EDFSMode.RANDOM
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,6.000000000000000000000000000000,4572,100,0.143744359342012517632980461713,0.338224786704991675634346393053,100,EDFSMode.RANDOM
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2700,1,0.345798054447670644151457963744,0.001000000000000000020816681712,170,EDFSMode.RANDOM
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,475,1,0.238319186249193376569976976498,0.152306559965338844664373141313,100,EDFSMode.RANDOM
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,286,44,0.055280989041453808263693048275,0.219050225175808910282881925013,100,EDFSMode.RANDOM
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,310,1,0.001000000000000000020816681712,0.416904275957594105950221319290,100,EDFSMode.RANDOM
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,351,18,0.215030629999269445873366635169,0.311556671176762445263364043058,226,EDFSMode.RANDOM
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,4.000000000000000000000000000000,469,100,0.154740876932687149158951456229,0.536470068368332553276900398487,100,EDFSMode.RANDOM
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,4591,63,0.001000000000000000020816681712,0.430042436540558237201281599482,117,EDFSMode.RANDOM
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,3716,96,0.036643661320727098640315233524,0.491863327385804349756170950059,430,EDFSMode.RANDOM
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3286,68,0.034268363931534602528916622077,0.485050769099605705303446256949,396,EDFSMode.RANDOM
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3915,1,0.037748761969097072155321370701,0.501753328365429962509836059326,607,EDFSMode.RANDOM
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1659,100,0.124351929276029130044811665812,0.938495951606651002130377037247,431,EDFSMode.RANDOM
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1815,1,0.126129653496301064041773543067,0.937934243834364966829753029742,371,EDFSMode.RANDOM
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4190,1,0.037520585480160101310431741695,0.503192304277264801370961322391,896,EDFSMode.RANDOM
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3117,100,0.022771524450330052347091225329,0.522500921894551884072654956981,434,EDFSMode.RANDOM
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1610,71,0.115702237420665071665482059871,0.909687116949572605051343998639,445,EDFSMode.RANDOM
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,4057,100,0.040820468291042466546514333459,0.472434243459778246965186099260,465,EDFSMode.RANDOM
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,84,0.001000000000000000020816681712,0.001000000000000000020816681712,378,EDFSMode.RANDOM
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3787,80,0.035637283819936846351872361538,0.550557006264909998272116808948,438,EDFSMode.RANDOM
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,3566,100,0.041769335019433272149225189196,0.469874714004068272377168113962,382,EDFSMode.RANDOM
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4691,26,0.036940495879143012136758272845,0.517697696132683793379669623391,1000,EDFSMode.RANDOM
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2081,1,0.126918095385722295986852259375,0.959444429254193598133326759125,901,EDFSMode.RANDOM
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3856,56,0.036142456573414520615283862526,0.475660982624056927203781697244,601,EDFSMode.RANDOM
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2146,68,0.123100961104934708556513101030,0.939747025420717307930829065299,350,EDFSMode.RANDOM
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1909,1,0.136115474995193302953921943299,0.951524273575155565829675197165,716,EDFSMode.RANDOM
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,4414,100,0.035912481220078985855170827790,0.530796612118474064878625995334,424,EDFSMode.RANDOM
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3651,1,0.032253832561436907022667242018,0.517563288545672350871029721020,780,EDFSMode.RANDOM
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2073,70,0.134946631751494405815350319244,0.998999999999999999111821580300,428,EDFSMode.RANDOM
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1684,68,0.001000000000000000020816681712,0.001000000000000000020816681712,393,EDFSMode.RANDOM
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3696,41,0.035977863519789557433803395270,0.455440606966828365198551864523,822,EDFSMode.RANDOM
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,100,0.001000000000000000020816681712,0.998999999999999999111821580300,433,EDFSMode.RANDOM
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1674,73,0.127823399689730193840020433527,0.857106376883992493453945371584,380,EDFSMode.RANDOM
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4849,1,0.998999999999999999111821580300,0.998999999999999999111821580300,515,EDFSMode.RANDOM
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,58,0.001000000000000000020816681712,0.998999999999999999111821580300,438,EDFSMode.RANDOM
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3658,36,0.035253593314781277168190598559,0.511803240061191044851796050352,1000,EDFSMode.RANDOM
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1946,21,0.117702914869992694701927860024,0.989588380179839077754877507687,452,EDFSMode.RANDOM
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4899,84,0.028255657763965744827538983941,0.518142511153968143844394944608,445,EDFSMode.RANDOM
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1645,1,0.118623218313975167803597798866,0.956838602190377085499051190709,418,EDFSMode.RANDOM
90,90_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,560,46,0.001000000000000000020816681712,0.935839619356995888743711020652,169,EDFSMode.RANDOM
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,41,0.001000000000000000020816681712,0.936133976402346634770879063581,228,EDFSMode.RANDOM
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.920000000000000039968028886506,2.000000000000000000000000000000,1893,49,0.001000000000000000020816681712,0.935820657441470360460300526029,143,EDFSMode.RANDOM
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,26,0.001000000000000000020816681712,0.001000000000000000020816681712,519,EDFSMode.RANDOM
94,94_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4775,22,0.001000000000000000020816681712,0.377029291093366358822436268383,526,EDFSMode.RANDOM
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4222,47,0.001000000000000000020816681712,0.184347014107456824705266740239,454,EDFSMode.RANDOM
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,431,1,0.001000000000000000020816681712,0.001000000000000000020816681712,405,EDFSMode.RANDOM
97,97_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,679,48,0.001000000000000000020816681712,0.935673472265076133780326017586,133,EDFSMode.RANDOM
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.900000000000000022204460492503,0.000000000000000000000000000000,1,44,0.001000000000000000020816681712,0.935879438076451908301578441751,183,EDFSMode.RANDOM
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.478131515813829677252755345762,0.754241176794982037812076214323,536,EDFSMode.RANDOM
100,100_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.158014918157186962099913785096,479,EDFSMode.RANDOM
101,101_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4054,1,0.132490948666555335977434992856,0.001000000000000000020816681712,850,EDFSMode.RANDOM
102,102_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,338,22,0.001000000000000000020816681712,0.001000000000000000020816681712,860,EDFSMode.RANDOM
103,103_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,32,0.001000000000000000020816681712,0.938649253329514099419839112670,270,EDFSMode.RANDOM
104,104_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3505,24,0.001000000000000000020816681712,0.835762357217868179226627489697,591,EDFSMode.RANDOM
105,105_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,3.000000000000000000000000000000,1678,49,0.001000000000000000020816681712,0.936856258613885106711904882104,104,EDFSMode.RANDOM
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.216272478628937336875281971516,336,EDFSMode.RANDOM
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4889,1,0.001000000000000000020816681712,0.001000000000000000020816681712,993,EDFSMode.RANDOM
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3014,3,0.001000000000000000020816681712,0.052396323535759375955578320827,829,EDFSMode.RANDOM
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4974,1,0.001000000000000000020816681712,0.236386247581215847013424991019,636,EDFSMode.RANDOM
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2740,1,0.499297486834737402894290880795,0.870269113967135243825623547309,528,EDFSMode.RANDOM
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.998999999999999999111821580300,869,EDFSMode.RANDOM
112,112_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.214468142049275223293136605207,0.804927921824801995143161548185,1000,EDFSMode.RANDOM
113,113_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4586,42,0.001000000000000000020816681712,0.998999999999999999111821580300,878,EDFSMode.RANDOM
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,0.001000000000000000020816681712,470,EDFSMode.RANDOM
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1069,17,0.001000000000000000020816681712,0.139400217296592937588073368715,973,EDFSMode.RANDOM
116,116_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,120,45,0.001000000000000000020816681712,0.935673481749124791306826409709,167,EDFSMode.RANDOM
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,4943,27,0.001000000000000000020816681712,0.881526138759164412661561982532,547,EDFSMode.RANDOM
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3242,1,0.001000000000000000020816681712,0.835296716801444572020329815132,1000,EDFSMode.RANDOM
119,119_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,1417,47,0.001000000000000000020816681712,0.935570920708442499424961624754,150,EDFSMode.RANDOM
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,3062,81,0.001000000000000000020816681712,0.998999999999999999111821580300,221,EDFSMode.RANDOM
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,2718,1,0.998999999999999999111821580300,0.998999999999999999111821580300,100,EDFSMode.RANDOM
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2986,72,0.001000000000000000020816681712,0.998999999999999999111821580300,282,EDFSMode.RANDOM
123,123_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,3063,99,0.001000000000000000020816681712,0.998999999999999999111821580300,154,EDFSMode.RANDOM
124,124_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,2561,1,0.001000000000000000020816681712,0.998999999999999999111821580300,101,EDFSMode.RANDOM
125,125_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2624,1,0.001000000000000000020816681712,0.998999999999999999111821580300,196,EDFSMode.RANDOM
126,126_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3153,69,0.001000000000000000020816681712,0.998999999999999999111821580300,331,EDFSMode.RANDOM
127,127_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2971,79,0.001000000000000000020816681712,0.998999999999999999111821580300,252,EDFSMode.RANDOM
128,128_0,COMPLETED,BoTorch,GenerationStep_1,0.920000000000000039968028886506,3.000000000000000000000000000000,3056,100,0.001000000000000000020816681712,0.998999999999999999111821580300,119,EDFSMode.RANDOM
129,129_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2052,1,0.998999999999999999111821580300,0.902482264422408642090545072278,100,EDFSMode.RANDOM
130,130_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2227,1,0.001000000000000000020816681712,0.998999999999999999111821580300,254,EDFSMode.RANDOM
131,131_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,100,0.001000000000000000020816681712,0.001000000000000000020816681712,665,EDFSMode.RANDOM
132,132_0,COMPLETED,BoTorch,GenerationStep_1,0.900000000000000022204460492503,1.000000000000000000000000000000,2869,100,0.001000000000000000020816681712,0.998999999999999999111821580300,191,EDFSMode.RANDOM
133,133_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,1,0.001000000000000000020816681712,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
134,134_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,60,0.001000000000000000020816681712,0.998999999999999999111821580300,364,EDFSMode.RANDOM
135,135_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1184,100,0.001000000000000000020816681712,0.998999999999999999111821580300,1000,EDFSMode.RANDOM
136,136_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,2.000000000000000000000000000000,4409,1,0.998999999999999999111821580300,0.998999999999999999111821580300,183,EDFSMode.RANDOM
137,137_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1047,1,0.998999999999999999111821580300,0.001000000000000000020816681712,627,EDFSMode.RANDOM
138,138_0,COMPLETED,BoTorch,GenerationStep_1,0.910000000000000031086244689504,1.000000000000000000000000000000,2856,1,0.001000000000000000020816681712,0.998999999999999999111821580300,155,EDFSMode.RANDOM
