trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,54.000000000000000000000000000000,4870,3114,3494,False
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,1852,2324,263,True
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,34.000000000000000000000000000000,165,4716,4240,False
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,3436,488,2003,True
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,2613,3991,656,True
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.460000000000000019984014443253,61.000000000000000000000000000000,670,740,3088,False
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,8.000000000000000000000000000000,2284,3170,1455,True
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.569999999999999951150186916493,103.000000000000000000000000000000,4130,1482,4804,False
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.510000000000000008881784197001,48.000000000000000000000000000000,3764,4426,1680,False
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,9.000000000000000000000000000000,2017,216,4579,True
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.500000000000000000000000000000,40.000000000000000000000000000000,969,2746,1213,False
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,2932,1973,2532,True
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,3677,3471,3878,True
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.479999999999999982236431605997,40.000000000000000000000000000000,541,1722,2364,False
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,1507,4370,3387,True
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,95.000000000000000000000000000000,4582,1058,370,False
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,4445,4140,4430,True
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,71.000000000000000000000000000000,1331,1143,1823,False
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,366,3710,2680,True
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,79.000000000000000000000000000000,3540,1650,1068,False
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.510000000000000008881784197001,49.000000000000000000000000000000,3108,2516,2222,False
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,1105,2058,4029,True
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.340000000000000024424906541753,15.000000000000000000000000000000,2154,4664,515,False
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,3940,144,3240,True
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,8.000000000000000000000000000000,4267,3400,115,True
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.419999999999999984456877655248,57.000000000000000000000000000000,2460,1397,3640,False
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,12.000000000000000000000000000000,846,3752,2153,True
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,66.000000000000000000000000000000,2750,811,4097,False
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,33.000000000000000000000000000000,3260,4946,2943,False
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.320000000000000006661338147751,7.000000000000000000000000000000,28,403,804,True
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,9.000000000000000000000000000000,1,3849,459,False
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,35.000000000000000000000000000000,5000,5000,1,False
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,42.000000000000000000000000000000,5000,3631,1544,False
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,7.000000000000000000000000000000,1,5000,1,False
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,82.000000000000000000000000000000,787,334,1163,False
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,8.000000000000000000000000000000,1,2694,1,False
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,5000,5000,True
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,39.000000000000000000000000000000,5000,5000,2167,False
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,7.000000000000000000000000000000,1,5000,1,True
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,82.000000000000000000000000000000,5000,3801,118,False
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.299999999999999988897769753748,16.000000000000000000000000000000,1,4771,1432,False
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,53.000000000000000000000000000000,5000,5000,5000,False
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,5000,2383,True
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1,1,1,False
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,5000,1,1,True
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,10.000000000000000000000000000000,1,3269,1094,False
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,63.000000000000000000000000000000,5000,2419,1276,False
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,9.000000000000000000000000000000,1,1507,18,False
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.510000000000000008881784197001,32.000000000000000000000000000000,5000,5000,594,False
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1240,1,1147,False
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,5000,1,5000,True
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,1,1,3218,True
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,8.000000000000000000000000000000,1,4032,1,False
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,15.000000000000000000000000000000,1,974,951,False
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,37.000000000000000000000000000000,5000,4208,876,False
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,50.000000000000000000000000000000,5000,5000,4129,False
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.299999999999999988897769753748,8.000000000000000000000000000000,1,2124,1,False
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,7.000000000000000000000000000000,1,3209,1,False
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,123,1,706,False
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,1935,5000,True
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.469999999999999973354647408996,24.000000000000000000000000000000,3384,5000,1,False
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,11.000000000000000000000000000000,2020,5000,1,False
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,52.000000000000000000000000000000,5000,2854,1,False
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,32.000000000000000000000000000000,4049,5000,1,False
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,5000,1,1,False
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,5000,5000,True
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,25.000000000000000000000000000000,1481,5000,1,False
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,20.000000000000000000000000000000,2786,5000,1,False
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,31.000000000000000000000000000000,5000,5000,1,True
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,38.000000000000000000000000000000,5000,4462,1,False
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,74.000000000000000000000000000000,5000,1846,1,False
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,47.000000000000000000000000000000,5000,3394,1,False
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1,1,1,True
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.419999999999999984456877655248,14.000000000000000000000000000000,2376,5000,1,False
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,2634,5000,5000,True
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,2363,1,1,True
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,57.000000000000000000000000000000,5000,2430,1,False
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,58.000000000000000000000000000000,5000,2330,1,True
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,52.000000000000000000000000000000,5000,4183,5000,False
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,5000,1,5000,False
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,2958,5000,True
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.400000000000000022204460492503,15.000000000000000000000000000000,2390,5000,1,True
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,11.000000000000000000000000000000,1,1,5000,True
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,22.000000000000000000000000000000,3078,5000,1,False
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.479999999999999982236431605997,28.000000000000000000000000000000,3693,5000,1,False
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.450000000000000011102230246252,64.000000000000000000000000000000,1216,5000,5000,False
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,13.000000000000000000000000000000,3375,1,1,False
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,35.000000000000000000000000000000,4470,5000,1,False
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,42.000000000000000000000000000000,3977,3618,1,False
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,71.000000000000000000000000000000,5000,1693,2058,False
90,90_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,99.000000000000000000000000000000,5000,1046,1,True
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.489999999999999991118215802999,31.000000000000000000000000000000,5000,4025,1,True
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,1139,5000,True
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,25.000000000000000000000000000000,1,2345,5000,False
94,94_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,53.000000000000000000000000000000,2720,1126,1,True
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,44.000000000000000000000000000000,3278,2531,1,False
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,1157,5000,True
97,97_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,74.000000000000000000000000000000,5000,1477,1,True
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.619999999999999995559107901499,149.000000000000000000000000000000,5000,738,1,True
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,63.000000000000000000000000000000,5000,2170,1,False
100,100_0,COMPLETED,BoTorch,GenerationStep_1,0.429999999999999993338661852249,42.000000000000000000000000000000,2821,2972,5000,False
101,101_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,2792,5000,True
102,102_0,COMPLETED,BoTorch,GenerationStep_1,0.309999999999999997779553950750,9.000000000000000000000000000000,1,1568,1,True
103,103_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,40.000000000000000000000000000000,5000,3300,1,True
104,104_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,56.000000000000000000000000000000,3993,2464,1,False
105,105_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,1914,1103,5000,True
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,58.000000000000000000000000000000,5000,2618,4593,False
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.460000000000000019984014443253,23.000000000000000000000000000000,2574,2483,1,False
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,77.000000000000000000000000000000,3520,1216,1,True
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.500000000000000000000000000000,56.000000000000000000000000000000,1275,2553,5000,False
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,12.000000000000000000000000000000,1,1,5000,False
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,87.000000000000000000000000000000,1615,1055,1,True
112,112_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,1182,3109,True
113,113_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,25.000000000000000000000000000000,1,3229,5000,False
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,99.000000000000000000000000000000,5000,1251,1,True
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,66.000000000000000000000000000000,5000,2141,1563,False
116,116_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,740,5000,True
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,1,3183,1,True
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,70.000000000000000000000000000000,4087,2162,1,False
119,119_0,COMPLETED,BoTorch,GenerationStep_1,0.299999999999999988897769753748,29.000000000000000000000000000000,1,1932,5000,False
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,1795,2138,True
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,69.000000000000000000000000000000,5000,1912,1,True
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,4071,5000,True
123,123_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,5000,4643,1071,True
124,124_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,59.000000000000000000000000000000,5000,2118,1,True
125,125_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1,1290,2629,True
126,126_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,2221,1839,1111,True
127,127_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,44.000000000000000000000000000000,3425,2122,1,True
128,128_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,7.000000000000000000000000000000,1203,1639,1754,True
129,129_0,COMPLETED,BoTorch,GenerationStep_1,0.320000000000000006661338147751,8.000000000000000000000000000000,5000,2187,2119,True
